participant_id,n_blocks,n_conditions,n_trials,n_tlx_blocks,complete_factorial
P001,8,8,216,8,True
P002,7,7,189,7,False
P003,8,8,216,8,True
P004,8,8,216,8,True
P005,8,8,216,7,True
P006,8,8,216,5,True
P007,8,8,216,6,True
P008,8,8,216,8,True
P009,8,8,216,1,True
P010,8,8,216,8,True
P011,8,8,216,1,True
P012,8,8,216,8,True
P013,8,8,216,8,True
P014,8,8,216,8,True
P015,8,8,216,1,True
P016,8,8,216,8,True
P017,8,8,216,8,True
P018,8,8,216,8,True
P019,8,8,216,8,True
P020,8,8,216,8,True
P021,8,8,216,8,True
P022,8,8,216,8,True
P023,8,8,216,2,True
P024,8,8,216,7,True
P025,8,8,216,8,True
P026,8,8,216,6,True
P027,8,8,216,8,True
P028,8,8,216,8,True
P029,8,8,216,8,True
P030,8,8,216,3,True
P031,8,8,216,8,True
P032,8,8,216,8,True
P035,8,8,216,8,True
P036,8,8,216,0,True
P037,4,4,108,3,False
P038,8,8,216,8,True
P039,8,8,216,8,True
P040,8,8,216,8,True
P041,8,8,216,8,True
P042,8,8,216,8,True
P043,8,8,216,7,True
P045,8,8,216,8,True
P046,8,8,432,8,True
P047,8,8,216,8,True
P048,7,7,189,7,False
P049,8,8,216,8,True
P050,8,8,216,2,True
P051,8,8,216,0,True
P054,8,8,216,0,True
P055,8,8,216,3,True
P057,8,8,216,8,True
P058,8,8,216,6,True
P059,8,8,216,8,True
P060,8,8,216,8,True
P061,8,8,216,8,True
P062,8,8,216,7,True
P063,8,8,216,8,True
P064,8,8,216,2,True
P065,8,8,216,8,True
P066,8,8,216,8,True
P067,8,8,216,8,True
P068,8,8,216,8,True
P069,8,8,216,1,True
P070,8,8,216,8,True
P072,8,8,216,0,True
P073,5,5,135,5,False
P074,8,8,216,8,True
P075,8,8,216,8,True
P076,8,8,216,7,True
P077,8,8,216,8,True
P078,7,7,189,7,False
P079,8,8,216,8,True
P080,8,8,216,7,True
P081,8,8,216,8,True
P082,8,8,216,8,True
P083,8,8,216,8,True
P084,8,8,216,3,True
P085,8,8,216,8,True
P086,8,8,216,0,True
P087,8,8,216,7,True
P088,8,8,216,0,True
