participant_id,recruited,has_data,n_blocks,n_trials,complete_8_blocks,exclusion_reason,in_final_n
P001,1,1,8,216,1,,1
P002,1,1,7,189,0,incomplete,0
P003,1,1,8,216,1,,1
P004,1,1,8,216,1,,1
P005,1,1,8,216,1,,1
P006,1,1,8,216,1,,1
P007,1,1,8,216,1,,1
P008,1,1,8,216,1,,1
P009,1,1,8,216,1,,1
P010,1,1,8,216,1,,1
P011,1,1,8,216,1,,1
P012,1,1,8,216,1,,1
P013,1,1,8,216,1,,1
P014,1,1,8,216,1,,1
P015,1,1,8,216,1,,1
P016,1,1,8,216,1,,1
P017,1,1,8,216,1,,1
P018,1,1,8,216,1,,1
P019,1,1,8,216,1,,1
P020,1,1,8,216,1,,1
P021,1,1,8,216,1,,1
P022,1,1,8,216,1,,1
P023,1,1,8,216,1,,1
P024,1,1,8,216,1,,1
P025,1,1,8,216,1,,1
P026,1,1,8,216,1,,1
P027,1,1,8,216,1,,1
P028,1,1,8,216,1,,1
P029,1,1,8,216,1,,1
P030,1,1,8,216,1,,1
P031,1,1,8,216,1,,1
P032,1,1,8,216,1,,1
P035,1,1,8,216,1,,1
P036,1,1,8,216,1,,1
P037,1,1,4,108,0,incomplete,0
P038,1,1,8,216,1,,1
P039,1,1,8,216,1,,1
P040,1,1,8,216,1,,1
P041,1,1,8,216,1,,1
P042,1,1,8,216,1,,1
P043,1,1,8,216,1,,1
P045,1,1,8,216,1,,1
P046,1,1,8,432,1,,1
P047,1,1,8,216,1,,1
P048,1,1,7,189,0,incomplete,0
P049,1,1,8,216,1,,1
P050,1,1,8,216,1,,1
P051,1,1,8,216,1,,1
P054,1,1,8,216,1,,1
P055,1,1,8,216,1,,1
P057,1,1,8,216,1,,1
P058,1,1,8,216,1,,1
P059,1,1,8,216,1,,1
P060,1,1,8,216,1,,1
P061,1,1,8,216,1,,1
P062,1,1,8,216,1,,1
P063,1,1,8,216,1,,1
P064,1,1,8,216,1,,1
P065,1,1,8,216,1,,1
P066,1,1,8,216,1,,1
P067,1,1,8,216,1,,1
P068,1,1,8,216,1,,1
P069,1,1,8,216,1,,1
P070,1,1,8,216,1,,1
P072,1,1,8,216,1,,1
P073,1,1,5,135,0,incomplete,0
P074,1,1,8,216,1,,1
P075,1,1,8,216,1,,1
P076,1,1,8,216,1,,1
P077,1,1,8,216,1,,1
P078,1,1,7,189,0,incomplete,0
P079,1,1,8,216,1,,1
P080,1,1,8,216,1,,1
P081,1,1,8,216,1,,1
P082,1,1,8,216,1,,1
P083,1,1,8,216,1,,1
P084,1,1,8,216,1,,1
P085,1,1,8,216,1,,1
P086,1,1,8,216,1,,1
P087,1,1,8,216,1,,1
P088,1,1,8,216,1,,1
