modality,scale,mean,sd,se,ci_lower,ci_upper,n
hand,Mental,34.93,19.74,1.75,31.5,38.36,127
hand,Physical,34.3,20.32,1.8,30.76,37.83,127
hand,Temporal,40.26,19.43,1.72,36.88,43.64,127
hand,Performance,55.64,30.38,2.7,50.36,60.92,127
hand,Effort,39.78,21.21,1.88,36.09,43.47,127
hand,Frustration,32.16,21.21,1.88,28.47,35.85,127
gaze,Mental,45.73,19.9,1.69,42.41,49.05,138
gaze,Physical,41.89,20.79,1.77,38.42,45.36,138
gaze,Temporal,47.09,18.28,1.56,44.04,50.14,138
gaze,Performance,53.28,23.93,2.04,49.28,57.27,138
gaze,Effort,48.55,20.32,1.73,45.16,51.93,138
gaze,Frustration,43.19,22.17,1.89,39.49,46.89,138
